DOMAIN,Code ,Parsed,Add_Del
gmuUnitSubTxt,19E ,19E,add
gmuUnitSubLbl,19E ,19E,add
gmuSubMajor,19EW00,19E-W00,add
gmuSubMajor,19EW02,19E-W02,add
gmuSubMajor,19EW03,19E-W03,add
gmuSubMajor,19EW04,19E-W04,add
gmuSubMajor,19AW02,19A-W02,delete
gmuSubMajor,19AW03,19A-W03,delete
gmuSubMajor,19AW04,19A-W04,delete
gmuSubMinor,19EW0004,19E-W00-04,add
gmuSubMinor,19EW0209,19E-W02-09,add
gmuSubMinor,19EW0210,19E-W02-10,add
gmuSubMinor,19EW0211,19E-W02-11,add
gmuSubMinor,19EW0312,19E-W03-12,add
gmuSubMinor,19EW0413,19E-W04-13,add
gmuSubMinor,19EW0414,19E-W04-14,add
gmuSubMinor,19EW0415,19E-W04-15,add
gmuSubMinor,19AW0209,19A-W02-09,delete
gmuSubMinor,19AW0210,19A-W02-10,delete
gmuSubMinor,19AW0211,19A-W02-11,delete
gmuSubMinor,19AW0312,19A-W03-12,delete
gmuSubMinor,19AW0413,19A-W04-13,delete
gmuSubMinor,19AW0414,19A-W04-14,delete
gmuSubMinor,19AW0415,19A-W04-15,delete
gmuUCU,19EW000402,19E-W00-0402,add
gmuUCU,19EW000403,19E-W00-0403,add
gmuUCU,19EW000404,19E-W00-0404,add
gmuUCU,19EW000405,19E-W00-0405,add
gmuUCU,19EW020901,19E-W02-0901,add
gmuUCU,19EW021001,19E-W02-1001,add
gmuUCU,19EW021101,19E-W02-1101,add
gmuUCU,19EW031201,19E-W03-1201,add
gmuUCU,19EW041301,19E-W04-1301,add
gmuUCU,19EW041401,19E-W04-1401,add
gmuUCU,19EW041501,19E-W04-1501,add
gmuUCU,19AW000403,19A-W00-0403,delete
gmuUCU,19AW000404,19A-W00-0404,delete
gmuUCU,19AW000405,19A-W00-0405,delete
gmuUCU,19AW020901,19A-W02-0901,delete
gmuUCU,19AW021001,19A-W02-1001,delete
gmuUCU,19AW021101,19A-W02-1101,delete
gmuUCU,19AW031201,19A-W03-1201,delete
gmuUCU,19AW041301,19A-W04-1301,delete
gmuUCU,19AW041401,19A-W04-1401,delete
gmuUCU,19AW041501,19A-W04-1501,delete
gmuUCU,01CX230702,01C-X23-0702,add
gmuUCU,04ZX425602,04Z-X42-5602,delete
gmuSTReg3subTxt,19E,19E,add
gmuSTReg3subLbl,19E,19E,add
gmuSTReg3submajor,19EW00,19E-W00,add
gmuSTReg3submajor,19EW02,19E-W02,add
gmuSTReg3submajor,19EW03,19E-W03,add
gmuSTReg3submajor,19EW04,19E-W04,add
gmuSTReg3submajor,19AW02,19A-W02,delete
gmuSTReg3submajor,19AW03,19A-W03,delete
gmuSTReg3submajor,19AW04,19A-W04,delete
gmuSTReg3subminor,19EW0004,19E-W00-04,add
gmuSTReg3subminor,19EW0209,19E-W02-09,add
gmuSTReg3subminor,19EW0210,19E-W02-10,add
gmuSTReg3subminor,19EW0211,19E-W02-11,add
gmuSTReg3subminor,19EW0312,19E-W03-12,add
gmuSTReg3subminor,19EW0413,19E-W04-13,add
gmuSTReg3subminor,19EW0414,19E-W04-14,add
gmuSTReg3subminor,19EW0415,19E-W04-15,add
gmuSTReg3subminor,19AW0209,19A-W02-09,delete
gmuSTReg3subminor,19AW0210,19A-W02-10,delete
gmuSTReg3subminor,19AW0211,19A-W02-11,delete
gmuSTReg3subminor,19AW0312,19A-W03-12,delete
gmuSTReg3subminor,19AW0413,19A-W04-13,delete
gmuSTReg3subminor,19AW0414,19A-W04-14,delete
gmuSTReg3subminor,19AW0415,19A-W04-15,delete
gmuSTReg3UCU,19EW000402,19E-W00-0402,add
gmuSTReg3UCU,19EW000403,19E-W00-0403,add
gmuSTReg3UCU,19EW000404,19E-W00-0404,add
gmuSTReg3UCU,19EW000405,19E-W00-0405,add
gmuSTReg3UCU,19EW020901,19E-W02-0901,add
gmuSTReg3UCU,19EW021001,19E-W02-1001,add
gmuSTReg3UCU,19EW021101,19E-W02-1101,add
gmuSTReg3UCU,19EW031201,19E-W03-1201,add
gmuSTReg3UCU,19EW041301,19E-W04-1301,add
gmuSTReg3UCU,19EW041401,19E-W04-1401,add
gmuSTReg3UCU,19EW041501,19E-W04-1501,add
gmuSTReg3UCU,19AW000403,19A-W00-0403,delete
gmuSTReg3UCU,19AW000404,19A-W00-0404,delete
gmuSTReg3UCU,19AW000405,19A-W00-0405,delete
gmuSTReg3UCU,19AW020901,19A-W02-0901,delete
gmuSTReg3UCU,19AW021001,19A-W02-1001,delete
gmuSTReg3UCU,19AW021101,19A-W02-1101,delete
gmuSTReg3UCU,19AW031201,19A-W03-1201,delete
gmuSTReg3UCU,19AW041301,19A-W04-1301,delete
gmuSTReg3UCU,19AW041401,19A-W04-1401,delete
gmuSTReg3UCU,19AW041501,19A-W04-1501,delete
gmuSTReg1UCU,01CX230702,01C-X23-0702,add
gmuSTReg1UCU,04ZX425602,04Z-X42-5602,delete
