gmuSubMajor,gmuSubMinor,gmuUCU,gmuSTReg3submajor,gmuSTReg3subminor,gmuSTReg3UCU,gmuSTReg1UCU
19AW02,19AW0209,19AW000403,19AW02,19AW0209,19AW000403,04ZX425602
19AW03,19AW0210,19AW000404,19AW03,19AW0210,19AW000404,
19AW04,19AW0211,19AW000405,19AW04,19AW0211,19AW000405,
,19AW0312,19AW020901,,19AW0312,19AW020901,
,19AW0413,19AW021001,,19AW0413,19AW021001,
,19AW0414,19AW021101,,19AW0414,19AW021101,
,19AW0415,19AW031201,,19AW0415,19AW031201,
,,19AW041301,,,19AW041301,
,,19AW041401,,,19AW041401,
,,19AW041501,,,19AW041501,
,,04ZX425602,,,,
